WP_003807168.1	gnl|META|EG10892-MONOMER	1.9e-05	59.5	42	43.5	73.8	95.5
WP_003807649.1	gnl|META|EG10886-MONOMER	9.8e-03	40.7	54	35.0	50.0	81.2
WP_003807757.1	gnl|META|EG50002-MONOMER	2.4e-25	65.5	84	110.5	79.8	98.8
WP_003807806.1	gnl|META|EG10914-MONOMER	1.2e-22	59.6	89	101.7	69.7	100.0
WP_003807891.1	gnl|META|EG10891-MONOMER	1.5e-02	36.7	49	34.3	55.1	87.5
WP_003808013.1	gnl|META|EG10909-MONOMER	4.8e-28	55.9	102	119.8	74.5	100.0
WP_003808021.1	gnl|META|EG10883-MONOMER	3.7e-09	39.8	88	57.0	58.0	88.8
WP_003808025.1	gnl|META|EG10918-MONOMER	1.4e-29	63.0	92	124.8	79.3	100.0
WP_003808026.1	gnl|META|EG10882-MONOMER	9.6e-20	48.7	115	92.4	67.8	96.6
WP_003808036.1	gnl|META|EG10916-MONOMER	6.5e-18	54.1	74	85.9	73.0	86.0
WP_003808038.1	gnl|META|EG10875-MONOMER	1.1e-39	65.0	123	158.7	82.1	100.0
WP_003808040.1	gnl|META|EG10884-MONOMER	1.5e-11	47.0	83	65.1	60.2	73.9
WP_003808046.1	gnl|META|EG10913-MONOMER	3.9e-09	48.2	56	56.2	60.7	91.8
WP_003808048.1	gnl|META|EG10907-MONOMER	2.3e-30	49.6	131	127.9	66.4	99.2
WP_003808136.1	gnl|META|EG11232-MONOMER	1.7e-07	55.3	38	50.1	76.3	100.0
WP_003808138.1	gnl|META|EG10912-MONOMER	8.0e-33	56.4	117	136.0	77.8	93.6
WP_003808141.1	gnl|META|EG10910-MONOMER	9.9e-34	55.1	127	139.0	72.4	96.2
WP_003808371.1	gnl|META|EG10889-MONOMER	4.5e-17	55.4	65	82.8	69.2	92.9
WP_003808526.1	gnl|META|UGPB-MONOMER	6.6e-07	25.2	322	51.6	39.1	70.4
WP_003809320.1	gnl|META|MONOMER-467	1.8e-68	52.8	254	255.4	69.3	99.2
WP_003809446.1	gnl|META|PNTA-MONOMER	2.9e-09	38.4	86	57.4	60.5	83.2
WP_003809874.1	gnl|META|ATPE-MONOMER	6.5e-06	49.0	49	45.8	69.4	65.3
WP_003810120.1	gnl|META|EG10905-MONOMER	1.4e-10	32.6	89	61.6	58.4	93.7
WP_003811858.1	gnl|META|EG10902-MONOMER	8.4e-01	33.3	45	28.9	55.6	58.4
WP_003833483.1	gnl|META|HS08155-MONOMER	1.6e-13	28.5	228	74.3	46.9	31.5
WP_003833483.1	gnl|META|HS09136-MONOMER	2.3e-12	27.5	229	70.5	45.4	31.6
WP_003833491.1	gnl|META|EG11294-MONOMER	2.0e-13	29.5	156	72.8	49.4	51.3
WP_003833491.1	gnl|META|MONOMER-11959	1.3e-12	23.4	269	70.1	48.0	83.9
WP_003833522.1	gnl|META|MONOMER-19495	1.6e-05	25.0	252	46.6	44.0	75.5
WP_003833522.1	gnl|META|MONOMER-13259	3.6e-05	26.5	151	45.4	49.7	48.1
WP_003833522.1	gnl|META|G7105-MONOMER	1.4e-04	23.3	180	43.5	43.3	57.0
WP_003833522.1	gnl|META|NIFHKLEB-MONOMER	2.3e-04	35.8	53	42.7	67.9	16.9
WP_003833522.1	gnl|META|MONOMER-13253	2.3e-04	32.4	71	42.7	62.0	22.6
WP_003833526.1	gnl|META|EG10376-MONOMER	1.2e-09	23.8	193	60.1	39.4	72.3
WP_003833529.1	gnl|META|AT2G28800-MONOMER	2.6e-09	24.3	235	59.3	45.5	67.2
WP_003833543.1	gnl|META|EG10828-MONOMER	2.0e-24	24.3	375	109.8	42.1	92.8
WP_003833546.1	gnl|META|EG10424-MONOMER	4.2e-147	39.4	825	518.1	53.3	93.5
WP_003833547.1	gnl|META|EG10423-MONOMER	4.6e-191	42.3	874	664.5	61.3	93.7
WP_003833554.1	gnl|META|GDHA-MONOMER	3.2e-140	58.0	438	494.6	73.5	97.1
WP_003833562.1	gnl|META|MONOMER-13096	4.6e-48	34.2	310	188.0	58.1	93.9
WP_003833562.1	gnl|META|MONOMER-8681	7.4e-46	29.9	318	180.6	54.4	96.3
WP_003833564.1	gnl|META|HS08461-MONOMER	5.7e-01	38.9	54	32.0	59.3	10.8
WP_003833565.1	gnl|META|AT3G01500-MONOMER	2.8e-07	37.0	81	52.0	51.9	32.0
WP_003833565.1	gnl|META|MONOMER-19143	1.4e-06	33.3	99	49.7	47.5	39.8
WP_003833565.1	gnl|META|MONOMER-14540	1.8e-06	25.9	112	49.3	50.9	45.9
WP_003833568.1	gnl|META|MONOMER-3824	2.6e-96	28.5	922	349.7	47.4	93.4
WP_003833568.1	gnl|META|AT3G14940-MONOMER	1.6e-93	29.7	959	340.5	45.6	94.8
WP_003833577.1	gnl|META|PUTP-MONOMER	3.4e-88	37.9	523	322.0	57.2	95.0
WP_003833584.1	gnl|META|GLYCOPHOSPHORYL-MONOMER	1.1e-199	44.2	817	693.0	62.5	99.3
WP_003833584.1	gnl|META|HS02178-MONOMER	7.1e-199	45.5	789	690.3	63.2	95.5
WP_003833584.1	gnl|META|HS02099-MONOMER	1.0e-197	45.7	788	686.4	61.5	95.5
WP_003833584.1	gnl|META|MONOMER-17099	4.3e-196	45.3	784	681.0	62.2	95.0
WP_003833584.1	gnl|META|HS00949-MONOMER	1.8e-194	44.8	788	675.6	61.8	95.5
WP_003833584.1	gnl|META|MALDEXPHOSPHORYL-MONOMER	3.3e-188	44.2	799	654.8	60.7	97.7
WP_003833606.1	gnl|META|HS03507-MONOMER	3.2e-22	30.7	238	103.2	47.5	34.2
WP_003833608.1	gnl|META|HS02256-MONOMER	1.3e-15	26.7	247	80.1	44.1	78.0
WP_003833608.1	gnl|META|HS03507-MONOMER	1.2e-13	26.9	219	73.6	43.8	67.8
WP_003833608.1	gnl|META|MONOMER-4461	1.6e-13	26.5	268	73.2	40.7	81.5
WP_003833611.1	gnl|META|EG10341-MONOMER	4.5e-23	26.6	432	105.5	43.3	83.4
WP_003833611.1	gnl|META|MONOMER-15537	6.5e-22	27.0	352	101.7	46.6	70.7
WP_003833613.1	gnl|META|EG10344-MONOMER	3.6e-21	30.6	333	99.4	52.0	60.4
WP_003833623.1	gnl|META|NARL-MONOMER	5.9e-15	31.1	212	77.4	53.8	92.2
WP_003833627.1	gnl|META|EG10739-MONOMER	1.1e-18	27.5	284	90.5	41.9	73.3
WP_003833636.1	gnl|META|EG10463-MONOMER	8.0e-47	43.1	283	184.9	62.2	41.5
WP_003833636.1	gnl|META|G7682-MONOMER	4.0e-46	42.2	282	182.6	61.7	41.1
WP_003833639.1	gnl|META|MONOMER-14493	6.9e-45	27.9	588	178.7	45.7	68.9
WP_003833639.1	gnl|META|MONOMER-14495	1.9e-42	28.7	586	170.6	44.9	69.1
WP_003833641.1	gnl|META|ANSA-MONOMER	3.4e-62	39.2	332	235.0	59.0	98.5
WP_003833642.1	gnl|META|HS08587-MONOMER	3.0e-67	33.9	492	252.3	53.7	99.6
WP_003833642.1	gnl|META|MONOMER-14306	1.4e-64	32.7	489	243.4	53.2	99.2
